Technology,Variable,Hour,Value
Wind Power plant 1,G_elec,644,100.0
Wind Power plant 1,G_elec,645,100.0
Wind Power plant 1,G_elec,646,100.0
Wind Power plant 1,G_elec,647,100.0
Wind Power plant 1,G_elec,648,100.0
Wind Power plant 1,G_elec,649,100.0
Wind Power plant 1,G_elec,650,100.0
Wind Power plant 1,G_elec,651,100.0
Wind Power plant 1,G_elec,652,100.0
Wind Power plant 1,G_elec,653,100.0
Wind Power plant 1,G_elec,654,100.0
Wind Power plant 1,G_elec,655,100.0
Wind Power plant 1,G_elec,656,100.0
Wind Power plant 1,G_elec,657,100.0
Wind Power plant 1,G_elec,658,100.0
Wind Power plant 1,G_elec,659,100.0
